median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList,BestList
58831,31,62.79258008,0.74%,50.50%,2.20%,114.7534713,4.6,15.48%,FALSE,FALSE
49610,21,23.96593986,-3.14%,44.60%,2.00%,80.3234357,6.3,19.90%,FALSE,FALSE
49114,18.8,25.21931401,-0.32%,48.90%,2.20%,285.1236724,5.6,14.75%,FALSE,FALSE
65891,26.8,191.7120876,2.28%,50.90%,5.70%,45.34407081,3.4,19.23%,FALSE,FALSE
59456,33.7,71.47685318,2.16%,50.60%,1.80%,149.6333982,5.4,16.71%,FALSE,FALSE
50554,20.9,637.0920771,-4.92%,51.80%,3.60%,14.78513503,4.9,18.39%,FALSE,FALSE
65041,35.1,200.4776765,6.56%,51.10%,3.00%,118.1677552,3.4,18.85%,FALSE,FALSE
45006,33.2,35.36223899,-2.65%,45.90%,1.80%,112.0950566,4.9,14.97%,FALSE,FALSE
54704,38.5,525.7965907,3.94%,51.30%,8.00%,23.93931725,3.5,20.42%,FALSE,FALSE
59582,16.1,113.2444373,1.22%,46.00%,4.80%,61.82666893,3.4,20.56%,FALSE,FALSE
46677,29.2,122.0094399,-0.63%,51.40%,4.10%,42.93565377,3.8,17.71%,FALSE,FALSE
56001,21.4,225.9052028,-1.10%,48.90%,3.60%,31.54375118,3.8,18.79%,FALSE,FALSE
56739,38.1,471.9348785,5.56%,51.10%,5.20%,71.68026077,3.3,19.88%,FALSE,FALSE
66560,35.2,775.6733589,8.27%,50.70%,10.80%,60.88697095,2.9,22.83%,FALSE,FALSE
72888,42.8,62.68092669,0.24%,50.70%,4.50%,183.815082,3.7,13.44%,FALSE,FALSE
55466,20.9,131.3459319,-1.46%,49.50%,8.20%,30.47201146,3.9,17.70%,FALSE,FALSE
87827,34.8,339.6614619,5.74%,49.90%,2.60%,31.25081382,3.3,16.82%,FALSE,FALSE
65051,24.5,1823.727158,3.78%,51.30%,2.80%,12.58621558,4.2,19.75%,FALSE,FALSE
54913,31.5,36.8828595,-0.57%,49.70%,1.60%,104.9490997,4.8,17.49%,FALSE,FALSE
47705,21.9,78.28367902,1.51%,49.70%,2.40%,69.04011231,4.7,15.75%,FALSE,FALSE
50730,19.1,347.6562656,0.79%,50.50%,5.80%,23.04598827,4.3,19.41%,FALSE,FALSE
81257,46.4,1449.392218,4.39%,51.00%,4.30%,24.65044085,3.4,19.83%,FALSE,FALSE
69827,33.5,517.9185294,9.60%,50.60%,10.20%,68.53305006,2.8,18.52%,FALSE,FALSE
48471,21.1,238.1398151,-5.05%,51.40%,8.70%,20.99307753,4.8,18.13%,FALSE,FALSE
60208,18.3,220.6525507,-2.46%,50.30%,3.50%,18.85274747,4.9,16.85%,FALSE,FALSE
58733,20.9,124.5765251,-0.77%,50.30%,11.70%,145.3545992,4.6,17.20%,FALSE,FALSE
76728,55.2,520.7071172,6.21%,50.40%,4.90%,54.40681609,2.9,20.62%,FALSE,FALSE
50753,23.3,2858.029996,-4.07%,51.80%,6.10%,14.86272275,5.1,20.44%,FALSE,FALSE
83363,29.7,843.7649228,7.31%,50.00%,4.90%,28.01740441,3.1,20.34%,FALSE,FALSE
101891,48.1,296.5892895,13.37%,50.30%,4.40%,28.54723139,2.8,18.02%,FALSE,FALSE
60384,24.3,65.1139281,3.93%,50.30%,1.50%,92.22965183,4.3,17.13%,FALSE,FALSE
89075,41.8,763.1544307,7.10%,50.60%,7.60%,20.97799408,2.9,20.33%,FALSE,FALSE
82323,49.2,2286.603287,8.96%,50.50%,7.00%,33.96945751,2.8,24.58%,FALSE,FALSE
