median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_per_1M_people,unemployment_rate,perc_age_25_39,LargestList
106543,55.2,1970.733061,0.07,0.51,0.08,18.61389751,2.3,0.23,FALSE
106851,53,1784.31224,0.05,0.52,0.05,14.14877436,2.5,0.2,FALSE
90584,36.7,790.8083299,0.05,0.51,0.04,23.0237029,3,0.17,FALSE
75843,44.8,13823.76105,0.10,0.52,0.23,17.41494974,2.6,0.31,FALSE
77795,35.9,549.8004329,0.04,0.51,0.12,27.69009248,3.1,0.19,TRUE
66568,22.7,143.0884201,0.06,0.50,0.08,59.28134077,3.1,0.18,FALSE
50659,27.7,270.1925329,-0.02,0.51,0.06,104.3017973,4,0.18,FALSE
50205,21.2,189.9642186,-0.01,0.51,0.06,44.7230525,4.1,0.18,FALSE
58831,31,62.79258008,0.01,0.51,0.02,114.7534713,4.6,0.15,FALSE
49610,21,23.96593986,-0.03,0.45,0.02,80.3234357,6.3,0.2,FALSE
49114,18.8,25.21931401,0.00,0.49,0.02,285.1236724,5.6,0.15,FALSE
65891,26.8,191.7120876,0.02,0.51,0.06,45.34407081,3.4,0.19,FALSE
59456,33.7,71.47685318,0.02,0.51,0.02,149.6333982,5.4,0.17,FALSE
50554,20.9,637.0920771,-0.05,0.52,0.04,14.78513503,4.9,0.18,FALSE
65041,35.1,200.4776765,0.07,0.51,0.03,118.1677552,3.4,0.19,FALSE
45006,33.2,35.36223899,-0.03,0.46,0.02,112.0950566,4.9,0.15,FALSE
54704,38.5,525.7965907,0.04,0.51,0.08,23.93931725,3.5,0.2,FALSE
59582,16.1,113.2444373,0.01,0.46,0.05,61.82666893,3.4,0.21,FALSE
46677,29.2,122.0094399,-0.01,0.51,0.04,42.93565377,3.8,0.18,FALSE
56001,21.4,225.9052028,-0.01,0.49,0.04,31.54375118,3.8,0.19,FALSE
56739,38.1,471.9348785,0.06,0.51,0.05,71.68026077,3.3,0.2,FALSE
66560,35.2,775.6733589,0.08,0.51,0.11,60.88697095,2.9,0.23,FALSE
72888,42.8,62.68092669,0.00,0.51,0.05,183.815082,3.7,0.13,FALSE
55466,20.9,131.3459319,-0.01,0.50,0.08,30.47201146,3.9,0.18,FALSE
87827,34.8,339.6614619,0.06,0.50,0.03,31.25081382,3.3,0.17,FALSE
65051,24.5,1823.727158,0.04,0.51,0.03,12.58621558,4.2,0.2,FALSE
54913,31.5,36.8828595,-0.01,0.50,0.02,104.9490997,4.8,0.17,FALSE
47705,21.9,78.28367902,0.02,0.50,0.02,69.04011231,4.7,0.16,FALSE
50730,19.1,347.6562656,0.01,0.51,0.06,23.04598827,4.3,0.19,FALSE
81257,46.4,1449.392218,0.04,0.51,0.04,24.65044085,3.4,0.2,FALSE
69827,33.5,517.9185294,0.10,0.51,0.10,68.53305006,2.8,0.19,FALSE
48471,21.1,238.1398151,-0.05,0.51,0.09,20.99307753,4.8,0.18,FALSE
60208,18.3,220.6525507,-0.02,0.50,0.04,18.85274747,4.9,0.17,FALSE
58733,20.9,124.5765251,-0.01,0.50,0.12,145.3545992,4.6,0.17,FALSE
76728,55.2,520.7071172,0.06,0.50,0.05,54.40681609,2.9,0.21,FALSE
50753,23.3,2858.029996,-0.04,0.52,0.06,14.86272275,5.1,0.2,FALSE
83363,29.7,843.7649228,0.07,0.50,0.05,28.01740441,3.1,0.2,FALSE
101891,48.1,296.5892895,0.13,0.50,0.04,28.54723139,2.8,0.18,FALSE
60384,24.3,65.1139281,0.04,0.50,0.02,92.22965183,4.3,0.17,FALSE
89075,41.8,763.1544307,0.07,0.51,0.08,20.97799408,2.9,0.2,FALSE
82323,49.2,2286.603287,0.09,0.51,0.07,33.96945751,2.8,0.25,FALSE
80631,44,242.2793943,0.09,0.51,0.05,31.58699374,2.6,0.22,FALSE
59901,25.1,29.78903364,0.02,0.50,0.04,51.06730671,4.2,0.15,FALSE
68652,41.9,3615.490237,0.08,0.51,0.08,41.79378944,3,0.24,FALSE
72438,27.5,135.1102719,0.04,0.49,0.09,44.79483963,3.1,0.18,FALSE
60228,28.7,31.86445051,-0.01,0.50,0.02,55.25694479,4,0.18,FALSE
108718,39.3,418.0169212,0.13,0.50,0.05,46.97576721,2.7,0.19,FALSE
66449,27.8,119.9248325,0.06,0.50,0.04,31.04144032,3.2,0.18,FALSE
100857,43.2,682.9359689,0.09,0.51,0.05,22.86236854,2.8,0.18,FALSE
91374,28.4,209.2002957,0.10,0.49,0.03,21.67990345,3.3,0.19,FALSE
58029,46,263.2905076,0.10,0.52,0.04,16.62390629,2.4,0.22,FALSE
70705,32.7,629.1197036,0.11,0.51,0.07,20.00416087,2.9,0.22,FALSE
45313,30.2,434.006018,0.06,0.51,0.04,23.88377473,2.7,0.2,FALSE
