BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398
FALSE,54351,54351,276.7009219,0.0471,0.527,0.055,4.6,0.1793,38.60668475
FALSE,102951,102951,393.1213942,0.1008,0.507,0.105,3.2,0.197,42.38153398
FALSE,85357,85357,1883.869805,0.0505,0.519,0.195,3.8,0.215,5.498572021
FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,2.9,0.1956,10.46933057
FALSE,101810,101810,376.3379841,0.0078,0.505,0.039,2.9,0.1782,17.80975618
FALSE,110012,110012,2138.787674,0.0751,0.516,0.201,2.9,0.1956,10.46933057
FALSE,49780,49780,7332.106147,-0.0463,0.531,0.057,5.1,0.263,26.9591737
FALSE,60143,60143,100.3547737,-0.017,0.513,0.042,2.7,0.18,113.9925905
FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,3.5,0.1636,48.02151364
FALSE,74142,74142,305.0326692,0.0171,0.534,0.059,2.7,0.1567,93.26618168
FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,2.6,0.3082,17.41494974
FALSE,90584,90584,790.8083299,0.0504,0.514,0.042,3,0.1698,23.0237029
FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,2.3,0.2257,18.61389751
FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,2.3,0.2257,18.61389751
FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,2.3,0.2257,18.61389751
FALSE,83253,83253,1601.89458,0.0581,0.518,0.222,3,0.187,22.81270516
FALSE,106851,106851,1784.31224,0.0508,0.519,0.05,2.5,0.1956,14.14877436
FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,2.6,0.3082,17.41494974
FALSE,77795,77795,549.8004329,0.0386,0.507,0.122,3.1,0.1936,27.69009248
FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,3.5,0.1636,48.02151364
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077
FALSE,50753,50753,2858.029996,-0.0407,0.518,0.061,5.1,0.2044,14.86272275
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095
FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,3.7,0.1344,183.815082
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095
FALSE,58733,58733,124.5765251,-0.0077,0.503,0.117,4.6,0.172,145.3545992
FALSE,59582,59582,113.2444373,0.0122,0.46,0.048,3.4,0.2056,61.82666893
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472
FALSE,56001,56001,225.9052028,-0.011,0.489,0.036,3.8,0.1879,31.54375118
FALSE,54704,54704,525.7965907,0.0394,0.513,0.08,3.5,0.2042,23.93931725
FALSE,49869,49869,58.86808612,0.0151,0.505,0.046,4.9,0.1614,68.62475981
FALSE,54024,54024,121.7840513,-0.0054,0.5,0.084,4.3,0.1797,32.80624631
FALSE,72666,72666,140.5259107,0.0529,0.507,0.046,3,0.1861,12.56360324
FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,3.7,0.1344,183.815082
FALSE,51772,51772,60.23088917,0.0106,0.497,0.06,4.2,0.1716,40.83299306
FALSE,48471,48471,238.1398151,-0.0505,0.514,0.087,4.8,0.1813,20.99307753
FALSE,76728,76728,520.7071172,0.0621,0.504,0.049,2.9,0.2062,54.40681609
