,0,1,2,3,4,5,6,7,8,9
211,66698,520.4948292,0.1211,0.503,0.291,2.8,0.1919,4.891386757,0.24,0
212,72927,728.1631158,0.1306,0.524,0.072,3.5,0.1899,4.263283325,0.283,0
213,66645,214.8511907,0.1712,0.506,0.084,2.7,0.2019,13.7029475,0.21,0
214,46450,236.6741522,0.0696,0.517,0.06,3.5,0.2132,8.51745226,0.256,0
215,57078,118.7913746,0.1084,0.504,0.051,3.1,0.1623,29.75304969,0.262,0
216,47035,904.7253738,0.0301,0.514,0.077,4.5,0.2314,5.108061031,0.262,0
217,44810,624.4272738,0.0097,0.515,0.051,4.5,0.2299,9.875665373,0.213,0
218,47296,168.8986154,0.0412,0.522,0.037,3.2,0.1996,28.60330082,0.185,0
219,54786,127.9592498,0.1186,0.513,0.034,2.6,0.1548,32.46964089,0.214,0
220,53115,360.2098711,0.0194,0.502,0.363,4.4,0.1973,9.557670987,0.157,0
221,64929,50.02287499,0.0816,0.506,0.129,3.4,0.1797,9.924917995,0.295,0
222,86946,1622.262765,0.0219,0.498,0.1,2.6,0.2201,12.31321115,0.343,0
223,73029,116.6098884,0.072,0.506,0.114,2.7,0.1888,27.6651958,0.295,0
224,77375,144.1360079,0.0752,0.504,0.116,2.6,0.1941,17.91932719,0.266,0
225,72295,457.5318077,0.1853,0.499,0.085,2.5,0.2173,37.3764242,0.378,1
226,53306,78.96488092,0.0566,0.503,0.089,2.8,0.2162,22.77696793,0.272,0
227,75778,8.708247055,0.0715,0.498,0.235,2.6,0.1668,173.7543982,0.382,0
228,56729,26.36902569,0.1063,0.501,0.034,4.2,0.151,43.72636044,0.231,0
229,65165,63.80336931,0.1245,0.501,0.134,2.4,0.2102,16.79797081,0.301,0
230,50709,9.652677051,0.104,0.498,0.051,4.4,0.1462,81.66598612,0.19,0
231,58670,391.3189301,0.1781,0.504,0.256,3.2,0.2033,8.701364809,0.183,0
232,48866,1.966062044,0.024,0.476,0.036,4.5,0.14,119.9976,0.202,0
233,62764,133.1835627,0.1642,0.505,0.049,3.6,0.1924,36.2106737,0.249,0
234,54999,37.27523151,0.0714,0.492,0.045,2.7,0.2011,74.79804528,0.451,1
235,46062,1.759000497,0.0113,0.495,0.035,4.8,0.1481,124.579544,0.211,0
236,39239,4.898722841,0.0091,0.497,0.036,5.9,0.1612,155.2553951,0.116,0
237,73637,27.01488021,0.1624,0.475,0.167,2.2,0.209,164.7175095,0.415,0
238,56141,45.22038941,0.1111,0.507,0.171,2.8,0.2086,23.02078777,0.206,0
239,64041,3.108733352,0.1343,0.481,0.047,3.9,0.1601,263.3426966,0.301,0
240,55942,76.51408673,-0.0255,0.507,0.018,3.4,0.1814,15.28234125,0.248,0
241,53485,210.4749133,0.0411,0.503,0.063,3.8,0.2013,23.84483688,0.444,1
242,51573,45.53855002,-0.0773,0.491,0.017,4.8,0.1837,30.95591877,0.166,0
243,67201,79.23051773,-0.0053,0.482,0.032,3.1,0.2001,26.62265055,0.225,0
244,69375,5448.102559,-0.0086,0.514,0.256,3.8,0.2354,16.50410768,0.38,1
245,64676,166.1584617,-0.0025,0.504,0.117,4.1,0.1935,19.0663222,0.314,1
246,96354,2818.087994,0.0065,0.508,0.146,2.9,0.1935,22.7538435,0.488,1
247,51333,27.52922002,-0.0825,0.51,0.013,4.2,0.167,58.27166249,0.167,0
248,58943,71.03098102,-0.0069,0.501,0.023,3.3,0.1922,29.40484592,0.225,0
249,43695,94.08176791,-0.0284,0.508,0.017,5.4,0.1711,25.99495698,0.159,0
250,61680,59.43364703,-0.0322,0.501,0.06,4.8,0.1691,40.88892523,0.226,0
251,37308,97.16118141,-0.0611,0.504,0.047,3.8,0.1859,35.24229075,0.36,1
252,63351,58.96211725,-0.0557,0.513,0.014,4.4,0.1655,45.92844349,0.205,0
253,62522,35.32766471,-0.068,0.499,0.032,4.1,0.1374,47.09206499,0.238,0
254,84311,1023.737737,0.0322,0.502,0.324,4.4,0.1861,16.90448777,0.331,0
255,60763,162.3841929,-0.0327,0.507,0.108,5,0.1827,18.20465675,0.21,0
256,105586,402.6722025,0.1105,0.505,0.2,3.3,0.2058,7.752538957,0.354,0
257,43404,69.37373935,-0.0648,0.495,0.06,5,0.1744,40.2422584,0.185,0
258,92638,1569.939369,-0.0099,0.5,0.224,4.1,0.1745,24.40652659,0.45,1
259,59528,95.73315338,-0.0484,0.495,0.103,5.3,0.1832,18.40451279,0.179,0
260,89379,510.2599429,-0.0032,0.502,0.139,3.3,0.1784,19.49482412,0.337,0
261,69230,144.9384727,0.0113,0.515,0.052,3.8,0.1906,23.32130343,0.448,1
262,52259,179.1130881,-0.065,0.521,0.024,5.3,0.1772,19.22910517,0.225,0
263,66591,367.4854873,-0.024,0.513,0.034,3.9,0.1972,11.40831895,0.258,0
264,54159,58.05630264,-0.1203,0.519,0.032,5.6,0.157,72.61109498,0.132,0
265,90904,89.96366338,0.0485,0.502,0.016,3.1,0.1734,57.74172128,0.325,0
266,63565,66.76079064,-0.0564,0.504,0.105,4.8,0.1747,19.7460656,0.2,0
267,57717,289.3675641,-0.0408,0.515,0.051,5.1,0.1988,16.7430335,0.304,1
268,56880,47.34686856,-0.0686,0.448,0.032,5.1,0.2037,47.81028877,0.117,0
269,58444,55.22502172,-0.0533,0.449,0.033,3.7,0.2049,31.46435089,0.128,0
270,57772,331.7751546,-0.0399,0.507,0.132,4.9,0.1862,35.24129716,0.232,0
271,57726,394.804176,-0.0399,0.518,0.043,4.5,0.1984,11.5524133,0.273,0
272,61768,224.1984932,-0.0143,0.52,0.024,4,0.1896,25.68422783,0.342,1
273,51786,78.82406917,-0.0722,0.514,0.043,4.4,0.1584,67.41876039,0.193,0
274,66206,203.0944229,-0.0272,0.508,0.025,4.4,0.1853,7.587080719,0.264,0
275,51575,40.27727054,-0.0694,0.499,0.053,5.7,0.1758,60.04924038,0.228,0
276,53621,31.054286,-0.0512,0.506,0.099,4.1,0.1621,59.36832106,0.23,0
277,90249,825.3511736,0.0191,0.504,0.182,3.8,0.1858,17.37259733,0.34,0
278,56958,158.5080531,0.0036,0.502,0.027,4.3,0.1974,15.0156914,0.226,0
279,59510,550.4341965,-0.0449,0.512,0.135,5.7,0.1867,21.23352632,0.226,0
280,56838,577.0491155,0.0632,0.511,0.077,3.1,0.2057,21.09153992,0.282,1
281,71181,205.8917495,0.0834,0.497,0.072,2.5,0.2106,23.87233078,0.323,1
282,84137,160.4183366,0.1651,0.503,0.032,2.5,0.1908,14.73991421,0.483,0
283,59441,317.286881,0.0682,0.513,0.057,3.3,0.2075,8.452942469,0.209,0
284,54349,73.34802625,-0.0254,0.504,0.015,3.5,0.1838,38.13155386,0.168,0
285,71351,162.1393025,-0.0119,0.503,0.014,3.6,0.1699,20.21917587,0.216,0
286,59714,119.8239367,0.0288,0.504,0.028,2.8,0.1868,23.00172513,0.177,0
287,45912,291.0686416,-0.031,0.518,0.026,3.9,0.1671,8.7615543,0.243,0
288,63869,100.0212981,0.0198,0.498,0.087,2.4,0.1694,70.19842756,0.222,0
289,55782,445.4973336,0.0426,0.506,0.168,3.1,0.1901,19.38538633,0.192,0
290,64614,530.78717,0.0502,0.515,0.035,3.2,0.1959,50.94113752,0.295,1
291,67315,59.19933408,-0.0145,0.502,0.013,3.4,0.1626,43.94059232,0.198,0
292,47509,158.8339282,-0.0653,0.521,0.044,3.7,0.1611,15.20473171,0.171,0
293,51918,58.84293864,-0.0389,0.5,0.016,4.1,0.1695,31.326358,0.148,0
294,107710,857.3149668,0.1877,0.512,0.043,2.5,0.196,38.4602868,0.578,1
295,77905,255.4376242,0.1045,0.507,0.026,2.8,0.1889,25.58591751,0.303,0
296,64270,83.61952959,0.0284,0.5,0.021,3.2,0.1818,24.68221646,0.174,0
297,85827,418.5460703,0.146,0.5,0.043,2.7,0.2003,23.48644539,0.363,0
298,54048,281.6653416,-0.0025,0.514,0.035,4,0.1785,24.22950184,0.212,0
299,65352,59.97230288,0.0025,0.503,0.062,3.7,0.1711,29.79560217,0.149,0
300,74427,493.6132099,0.117,0.507,0.038,2.7,0.205,25.28972542,0.318,0
301,64677,149.5273636,0.0264,0.5,0.082,2.8,0.1906,12.58558196,0.227,0
302,57280,973.0079104,-0.0217,0.516,0.196,4.9,0.1888,24.71714319,0.221,1
303,56427,183.6673636,-0.0144,0.485,0.069,4.3,0.1965,36.40069889,0.179,0
304,56261,101.0089766,-0.0168,0.505,0.017,3.6,0.1711,22.04099625,0.155,0
305,54145,286.7109965,-0.016,0.5,0.044,3.7,0.1894,15.43579097,0.18,0
306,50707,2433.981499,0.0634,0.518,0.109,3.3,0.2395,29.02811788,0.304,1
307,53113,376.2423671,0.0705,0.503,0.036,3.3,0.2016,53.89709697,0.456,1
308,54366,75.97505415,0.0056,0.492,0.049,3.1,0.1766,26.0837811,0.181,0
