BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,unemployment_rate,perc_age_25_39,brewery_per_1M_people,brewery_count
FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,2.6,0.3082,17.41494974,14
FALSE,77795,77795,549.8004329,0.0386,0.507,0.122,3.1,0.1936,27.69009248,23
FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,3.5,0.1636,48.02151364,6
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077,19
FALSE,50753,50753,2858.029996,-0.0407,0.518,0.061,5.1,0.2044,14.86272275,26
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095,40
FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,3.7,0.1344,183.815082,4
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077,19
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095,40
FALSE,58733,58733,124.5765251,-0.0077,0.503,0.117,4.6,0.172,145.3545992,11
FALSE,59582,59582,113.2444373,0.0122,0.46,0.048,3.4,0.2056,61.82666893,4
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085,31
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077,19
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095,40
FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,3.3,0.1988,71.68026077,19
FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,3.2,0.2373,47.62860472,159
FALSE,56001,56001,225.9052028,-0.011,0.489,0.036,3.8,0.1879,31.54375118,5
FALSE,54704,54704,525.7965907,0.0394,0.513,0.08,3.5,0.2042,23.93931725,7
FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,3.7,0.1344,183.815082,4
FALSE,48471,48471,238.1398151,-0.0505,0.514,0.087,4.8,0.1813,20.99307753,4
FALSE,76728,76728,520.7071172,0.0621,0.504,0.049,2.9,0.2062,54.40681609,20
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095,40
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085,31
FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,4.2,0.1975,12.58621558,11
FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,4.2,0.1975,12.58621558,11
FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,4,0.1766,104.3017973,16
FALSE,55466,55466,131.3459319,-0.0146,0.495,0.082,3.9,0.177,30.47201146,3
FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,2.9,0.2283,60.88697095,40
FALSE,69827,69827,517.9185294,0.096,0.506,0.102,2.8,0.1852,68.53305006,20
FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,4,0.1766,104.3017973,16
FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,3.4,0.1983,24.65044085,31
