Index,BestList,median_HHI_2019,bach_deg_pct_14to18,pop_density_per_mile,change_in_pop_decade,perc_female,perc_hispanic,brewery_count,unemployment_rate,perc_age_25_39
241,FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,30,2.3,0.2257
242,FALSE,106543,106543,1970.733061,0.0674,0.51,0.083,30,2.3,0.2257
243,FALSE,83253,83253,1601.89458,0.0581,0.518,0.222,18,3,0.187
244,FALSE,106851,106851,1784.31224,0.0508,0.519,0.05,10,2.5,0.1956
245,FALSE,75843,75843,13823.76105,0.1019,0.517,0.233,14,2.6,0.3082
246,FALSE,77795,77795,549.8004329,0.0386,0.507,0.122,23,3.1,0.1936
247,FALSE,58805,58805,134.8086208,-0.0502,0.517,0.051,6,3.5,0.1636
248,FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,19,3.3,0.1988
249,FALSE,50753,50753,2858.029996,-0.0407,0.518,0.061,26,5.1,0.2044
250,FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,40,2.9,0.2283
251,FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,4,3.7,0.1344
252,FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,19,3.3,0.1988
253,FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,40,2.9,0.2283
254,FALSE,58733,58733,124.5765251,-0.0077,0.503,0.117,11,4.6,0.172
255,FALSE,59582,59582,113.2444373,0.0122,0.46,0.048,4,3.4,0.2056
256,FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,31,3.4,0.1983
257,FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,19,3.3,0.1988
258,FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,40,2.9,0.2283
259,FALSE,56739,56739,471.9348785,0.0556,0.511,0.052,19,3.3,0.1988
260,FALSE,83576,83576,793.5877413,0.0728,0.497,0.341,159,3.2,0.2373
261,FALSE,56001,56001,225.9052028,-0.011,0.489,0.036,5,3.8,0.1879
262,FALSE,54704,54704,525.7965907,0.0394,0.513,0.08,7,3.5,0.2042
263,FALSE,49869,49869,58.86808612,0.0151,0.505,0.046,2,4.9,0.1614
264,FALSE,54024,54024,121.7840513,-0.0054,0.5,0.084,2,4.3,0.1797
265,FALSE,72666,72666,140.5259107,0.0529,0.507,0.046,1,3,0.1861
266,FALSE,72888,72888,62.68092669,0.0024,0.507,0.045,4,3.7,0.1344
267,FALSE,51772,51772,60.23088917,0.0106,0.497,0.06,2,4.2,0.1716
268,FALSE,48471,48471,238.1398151,-0.0505,0.514,0.087,4,4.8,0.1813
269,FALSE,76728,76728,520.7071172,0.0621,0.504,0.049,20,2.9,0.2062
270,FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,40,2.9,0.2283
271,FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,31,3.4,0.1983
272,FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,11,4.2,0.1975
273,FALSE,65051,65051,1823.727158,0.0378,0.513,0.028,11,4.2,0.1975
274,FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,16,4,0.1766
275,FALSE,55466,55466,131.3459319,-0.0146,0.495,0.082,3,3.9,0.177
276,FALSE,66560,66560,775.6733589,0.0827,0.507,0.108,40,2.9,0.2283
277,FALSE,69827,69827,517.9185294,0.096,0.506,0.102,20,2.8,0.1852
278,FALSE,67703,67703,111.2834754,0.0386,0.496,0.031,2,3.2,0.1751
279,FALSE,50659,50659,270.1925329,-0.0222,0.511,0.058,16,4,0.1766
280,FALSE,81257,81257,1449.392218,0.0439,0.51,0.043,31,3.4,0.1983
